Designator,Mid X,Mid Y,Rotation,Layer
C1,98.3,-85.0875,180.0,top
C2,99.775,-99.3375,180.0,top
C3,100.05,-97.5875,180.0,top
J1,78.05,-90.3975,0.0,top
J2,88.05,-105.3375,270.0,top
J3,88.05,-82.0875,270.0,top
J4,99.82,-103.8175,0.0,top
J6,78.05,-101.5975,0.0,top
J7,104.775,-101.6575,180.0,top
J8,104.775,-90.4575,180.0,top
R1,87.05,-102.0875,180.0,top
R10,83.04,-100.8375,180.0,top
R11,95.81,-101.0875,0.0,top
R12,95.82,-100.0875,0.0,top
R13,95.82,-99.0875,0.0,top
R14,95.8,-98.0875,0.0,top
R15,95.8,-97.0875,0.0,top
R16,95.8,-96.0875,0.0,top
R17,95.8,-95.0875,0.0,top
R18,95.8,-94.0875,0.0,top
R19,83.3,-85.2875,270.0,top
R2,89.05,-102.0875,180.0,top
R20,85.8,-85.2775,270.0,top
R21,88.3,-85.2875,270.0,top
R22,90.82,-85.2875,270.0,top
R23,93.3,-85.2875,270.0,top
R24,95.8,-85.2875,270.0,top
R25,98.3,-91.5875,270.0,top
R26,100.8,-91.5875,270.0,top
R3,83.02,-93.8375,180.0,top
R4,83.02,-94.8375,180.0,top
R5,83.03,-95.8375,180.0,top
R6,83.02,-96.8375,180.0,top
R7,83.03,-97.8375,180.0,top
R8,83.04,-98.8375,180.0,top
R9,83.04,-99.8275,180.0,top
U1,89.55,-96.3375,270.0,top
