Designator,Mid X,Mid Y,Rotation,Layer
C1,153.6,-59.2,0.0,top
C2,141.3,-59.45,270.0,top
C3,139.4,-60.62,90.0,top
C4,144.27375,-56.1,180.0,top
C5,151.57375,-54.7,0.0,top
C6,151.57375,-58.0,0.0,top
C7,151.57375,-56.0,0.0,top
C8,154.75,-53.5,0.0,top
J1,148.4,-76.55,0.0,top
J3,160.1,-63.535,0.0,top
J6,137.0,-63.565,180.0,top
JP1,141.3,-56.05,180.0,bottom
JP2,141.3,-57.5,180.0,bottom
JP3,141.3,-58.95,180.0,bottom
JP4,141.3,-60.4,180.0,bottom
JP5,156.15,-55.6,90.0,top
JP6,157.6,-55.6,90.0,top
JP7,153.3,-55.7,270.0,top
JP8,154.7,-55.6,90.0,top
R1,153.6,-61.2,0.0,top
R10,143.51,-69.0,180.0,top
R11,153.58,-69.2,0.0,top
R12,153.57,-68.2,0.0,top
R13,153.58,-67.2,0.0,top
R14,153.58,-66.2,0.0,top
R15,153.59,-65.2,0.0,top
R16,153.58,-64.2,0.0,top
R17,153.59,-63.19,0.0,top
R18,153.59,-62.2,0.0,top
R19,143.4,-58.0,0.0,top
R2,153.6,-60.2,0.0,top
R20,143.4,-59.0,0.0,top
R21,143.39,-60.0,0.0,top
R22,143.4,-61.0,0.0,top
R25,156.3,-58.2,180.0,top
R26,156.3,-60.1,180.0,top
R3,143.51,-62.0,180.0,top
R4,143.5,-63.0,180.0,top
R5,143.5,-64.0,180.0,top
R6,143.5,-65.0,180.0,top
R7,143.51,-66.0,180.0,top
R8,143.5,-67.0,180.0,top
R9,143.5,-68.0,180.0,top
U1,148.5,-64.5,270.0,top
U2,147.94375,-56.25,180.0,top
U3,140.5,-63.5,0.0,top
U4,140.5,-67.5,0.0,top
U5,156.5,-67.75,180.0,top
U6,156.45,-63.75,180.0,top
